EQUIPO,operacion,Orden,DATEVALUE
14246,1,200191090,2023-09-29 12:09:40
14246,2,200191090,2023-09-29 15:35:55
14246,3,200191090,2023-09-29 16:46:31
14246,4,200191090,2023-09-29 18:24:58
14246,1,200191388,2023-10-19 11:31:34
14246,2,200191388,2023-10-19 14:21:10
14246,3,200191388,2023-10-19 16:22:57
14246,4,200191388,2023-10-19 16:51:00
14246,1,200191393,2023-10-26 07:45:24
14246,2,200191393,2023-10-26 10:50:14
14246,3,200191393,2023-10-26 12:11:42
14246,4,200191393,2023-10-26 13:44:46
14246,1,200191395,2023-11-02 10:06:10
14246,2,200191395,2023-11-02 13:27:09
14246,3,200191395,2023-11-02 14:18:01
14246,4,200191395,2023-11-02 15:53:34
14246,1,200191398,2023-10-27 08:47:28
14246,2,200191398,2023-10-27 12:08:20
14246,3,200191398,2023-10-27 13:07:53
14246,4,200191398,2023-10-27 14:57:47
14246,1,200195712,2023-11-08 08:29:44
14246,2,200195712,2023-11-08 11:41:53
14246,3,200195712,2023-11-08 12:28:14
14246,4,200195712,2023-11-08 14:16:51
14246,1,200195910,2023-11-16 08:48:49
14246,2,200195910,2023-11-16 12:14:28
14246,3,200195910,2023-11-16 20:51:44
14246,4,200195910,2023-11-16 20:53:49
14246,1,200196401,2023-11-22 08:46:28
14246,2,200196401,2023-11-22 12:01:40
14246,3,200196401,2023-11-22 13:03:04
14246,4,200196401,2023-11-22 14:29:09
14246,1,200196793,2023-11-29 08:48:30
14246,2,200196793,2023-11-29 11:59:14
14246,3,200196793,2023-11-29 12:52:12
14246,4,200196793,2023-11-29 14:31:43
14246,1,200196872,2023-11-24 08:57:22
14246,2,200196872,2023-11-24 12:17:11
14246,3,200196872,2023-11-24 13:06:06
14246,4,200196872,2023-11-24 15:21:31
14246,1,200196873,2023-12-01 09:57:43
14246,2,200196873,2023-12-01 13:23:04
14246,3,200196873,2023-12-01 14:16:25
14246,4,200196873,2023-12-01 15:48:02
14246,1,200196878,2023-12-06 07:51:33
14246,2,200196878,2023-12-06 11:11:01
14246,3,200196878,2023-12-06 12:01:53
14246,4,200196878,2023-12-06 13:31:48
14246,1,200196880,2023-12-20 10:28:53
14246,2,200196880,2023-12-20 13:53:15
14246,3,200196880,2023-12-20 14:52:00
14246,4,200196880,2023-12-20 16:42:42
14246,1,200196890,2024-01-18 09:33:00
14246,2,200196890,2024-01-18 13:01:17
14246,3,200196890,2024-01-18 14:00:31
14246,4,200196890,2024-01-18 15:33:12
14246,1,200196894,2024-01-22 09:52:51
14246,2,200196894,2024-01-22 10:39:34
14246,3,200196894,2024-01-22 11:54:24
14246,4,200196894,2024-01-22 13:31:41
14246,1,200196896,2024-01-24 08:43:25
14246,2,200196896,2024-01-24 11:44:31
14246,3,200196896,2024-01-24 12:36:58
14246,4,200196896,2024-01-24 14:13:44
14246,1,200196905,2024-01-25 08:56:03
14246,2,200196905,2024-01-25 12:00:08
14246,3,200196905,2024-01-25 13:17:29
14246,4,200196905,2024-01-25 15:00:41
14246,1,200199657,2024-03-14 08:31:51
14246,2,200199657,2024-03-14 12:04:51
14246,3,200199657,2024-03-14 12:57:15
14246,4,200199657,2024-03-14 14:32:01
14246,1,200199658,2024-02-12 11:14:02
14246,2,200199658,2024-02-12 14:15:07
14246,3,200199658,2024-02-12 15:12:07
14246,4,200199658,2024-02-12 16:52:45
14246,1,200199659,2024-02-14 11:51:11
14246,2,200199659,2024-02-14 15:16:44
14246,3,200199659,2024-02-14 16:11:23
14246,4,200199659,2024-02-14 17:42:53
14246,1,200200221,2024-04-26 06:18:59
14246,2,200200221,2024-04-26 09:40:28
14246,3,200200221,2024-04-26 10:50:02
14246,4,200200221,2024-04-26 12:25:20
14246,1,200200223,2024-02-19 07:54:33
14246,2,200200223,2024-02-19 11:08:47
14246,3,200200223,2024-02-19 12:04:08
14246,4,200200223,2024-02-19 13:42:18
14246,1,200200227,2024-03-04 09:22:30
14246,2,200200227,2024-03-04 12:47:58
14246,3,200200227,2024-03-04 14:29:13
14246,4,200200227,2024-03-04 16:10:39
14246,1,200200228,2024-02-21 07:23:15
14246,2,200200228,2024-02-21 10:44:25
14246,3,200200228,2024-02-21 11:36:45
14246,4,200200228,2024-02-21 13:19:19
14246,1,200200230,2024-05-20 07:32:42
14246,2,200200230,2024-05-20 10:55:17
14246,3,200200230,2024-05-20 11:48:25
14246,4,200200230,2024-05-20 13:18:56
14246,1,200200231,2024-03-06 12:25:16
14246,2,200200231,2024-03-06 15:56:42
14246,3,200200231,2024-03-06 16:45:16
14246,4,200200231,2024-03-06 18:22:46
14246,1,200200232,2024-06-05 06:28:36
14246,2,200200232,2024-06-05 09:47:35
14246,3,200200232,2024-06-05 10:34:07
14246,4,200200232,2024-06-05 12:10:45
14246,1,200200233,2024-03-18 08:19:07
14246,2,200200233,2024-03-18 11:37:46
14246,3,200200233,2024-03-18 12:26:09
14246,4,200200233,2024-03-18 14:02:12
14246,1,200200371,2024-04-17 07:32:33
14246,2,200200371,2024-04-17 10:53:38
14246,3,200200371,2024-04-17 11:55:56
14246,4,200200371,2024-04-17 13:34:23
14246,1,200200373,2024-03-11 09:20:12
14246,2,200200373,2024-03-11 12:43:08
14246,3,200200373,2024-03-11 13:33:36
14246,4,200200373,2024-03-11 15:20:49
14246,1,200200376,2024-04-18 06:38:43
14246,2,200200376,2024-04-18 10:18:21
14246,3,200200376,2024-04-18 11:11:28
14246,4,200200376,2024-04-18 12:41:26
14246,1,200200378,2024-03-20 07:04:19
14246,2,200200378,2024-03-20 10:32:24
14246,3,200200378,2024-03-20 11:22:35
14246,4,200200378,2024-03-20 12:56:12
14246,1,200200379,2024-03-13 11:07:06
14246,2,200200379,2024-03-13 14:23:37
14246,3,200200379,2024-03-13 15:16:37
14246,4,200200379,2024-03-13 16:51:04
14246,1,200200382,2024-04-15 07:21:43
14246,2,200200382,2024-04-15 10:44:54
14246,3,200200382,2024-04-15 11:43:35
14246,4,200200382,2024-04-15 13:30:00
14246,1,200200388,2024-03-27 09:02:53
14246,2,200200388,2024-03-27 12:32:53
14246,3,200200388,2024-03-27 13:27:03
14246,4,200200388,2024-03-27 15:03:31
14246,1,200202547,2024-04-22 08:17:48
14246,2,200202547,2024-04-22 11:38:48
14246,3,200202547,2024-04-22 12:28:41
14246,4,200202547,2024-04-22 14:07:58
14246,1,200202549,2024-04-24 08:31:09
14246,2,200202549,2024-04-24 11:47:04
14246,3,200202549,2024-04-24 12:51:25
14246,4,200202549,2024-04-24 14:24:39
14246,1,200202551,2024-04-25 10:23:48
14246,2,200202551,2024-04-25 13:57:00
14246,3,200202551,2024-04-25 14:55:51
14246,4,200202551,2024-04-25 16:25:32
14246,1,200202554,2024-04-29 08:22:19
14246,2,200202554,2024-04-29 11:55:13
14246,3,200202554,2024-04-29 12:48:55
14246,4,200202554,2024-04-29 14:27:10
14246,1,200202557,2024-05-16 06:36:15
14246,2,200202557,2024-05-16 10:20:11
14246,3,200202557,2024-05-16 11:08:31
14246,4,200202557,2024-05-16 12:45:46
14246,1,200203878,2024-05-27 08:30:39
14246,2,200203878,2024-05-27 11:40:07
14246,3,200203878,2024-05-27 12:27:03
14246,4,200203878,2024-05-27 14:04:45
14246,1,200205523,2024-07-11 07:45:24
14246,2,200205523,2024-07-11 11:25:05
14246,3,200205523,2024-07-11 12:09:33
14246,4,200205523,2024-07-11 13:44:50
14246,1,200205529,2024-05-24 09:13:25
14246,2,200205529,2024-05-24 12:50:05
14246,3,200205529,2024-05-24 13:32:17
14246,4,200205529,2024-05-24 15:13:26
14246,1,200205533,2024-05-30 06:28:11
14246,2,200205533,2024-05-30 09:57:55
14246,3,200205533,2024-05-30 10:44:37
14246,4,200205533,2024-05-30 12:19:23
14246,1,200205536,2024-06-03 07:58:01
14246,2,200205536,2024-06-03 11:25:52
14246,3,200205536,2024-06-03 12:11:26
14246,4,200205536,2024-06-03 12:51:25
14246,1,200205678,2024-06-07 08:11:21
14246,2,200205678,2024-06-07 11:46:47
14246,3,200205678,2024-06-07 12:34:51
14246,4,200205678,2024-06-07 14:14:50
14246,1,200205680,2024-07-10 07:07:17
14246,2,200205680,2024-07-10 10:37:46
14246,3,200205680,2024-07-10 11:27:37
14246,4,200205680,2024-07-10 13:08:18
14246,1,200205681,2024-05-23 07:09:48
14246,2,200205681,2024-05-23 10:36:17
14246,3,200205681,2024-05-23 11:28:45
14246,4,200205681,2024-05-23 13:10:50
14246,1,200205682,2024-05-22 08:35:45
14246,2,200205682,2024-05-22 12:04:19
14246,3,200205682,2024-05-22 13:05:18
14246,4,200205682,2024-05-22 14:35:25
14246,1,200205683,2024-05-29 09:09:30
14246,2,200205683,2024-05-29 12:43:25
14246,3,200205683,2024-05-29 13:29:50
14246,4,200205683,2024-05-29 15:10:51
14246,1,200205686,2024-07-08 08:09:55
14246,2,200205686,2024-07-08 11:07:41
14246,3,200205686,2024-07-08 11:49:51
14246,4,200205686,2024-07-08 13:32:56
14246,1,200205688,2024-07-05 07:42:06
14246,2,200205688,2024-07-05 11:23:24
14246,3,200205688,2024-07-05 12:10:31
14246,4,200205688,2024-07-05 13:52:02
14246,1,200205690,2024-07-01 06:56:11
14246,2,200205690,2024-07-01 10:21:42
14246,3,200205690,2024-07-01 11:04:51
14246,4,200205690,2024-07-01 12:44:51
14246,1,200205692,2024-07-04 07:50:28
14246,2,200205692,2024-07-04 11:16:39
14246,3,200205692,2024-07-04 12:23:06
14246,4,200205692,2024-07-04 13:58:45
14246,1,200205696,2024-07-03 07:50:38
14246,2,200205696,2024-07-03 11:08:40
14246,3,200205696,2024-07-03 11:59:14
14246,4,200205696,2024-07-03 13:33:24
14246,1,200209965,2024-07-15 07:58:26
14246,2,200209965,2024-07-15 11:22:13
14246,3,200209965,2024-07-15 12:08:50
14246,4,200209965,2024-07-15 13:44:34
14246,1,200209967,2024-07-17 08:18:52
14246,2,200209967,2024-07-17 11:53:39
14246,3,200209967,2024-07-17 12:39:57
14246,4,200209967,2024-07-17 14:23:06
14246,1,200209981,2024-07-25 07:27:48
14246,2,200209981,2024-07-25 07:43:45
14246,3,200209981,2024-07-25 11:17:35
14246,4,200209981,2024-07-25 12:04:23
14246,4,200209981,2024-07-25 13:46:48
14246,1,200209984,2024-07-29 07:14:41
14246,2,200209984,2024-07-29 10:32:08
14246,3,200209984,2024-07-29 11:21:19
14246,4,200209984,2024-07-29 13:02:55
14246,1,200211469,2024-07-31 07:22:42
14246,2,200211469,2024-07-31 10:59:05
14246,3,200211469,2024-07-31 11:49:31
14246,4,200211469,2024-07-31 13:25:11
17825,1,10005223,2023-11-16 08:38:56
17825,2,10005223,2023-11-16 11:46:55
17825,3,10005223,2023-11-16 12:36:47
17825,4,10005223,2023-11-16 14:05:13
17825,1,10005235,2023-11-30 08:31:03
17825,2,10005235,2023-11-30 11:21:30
17825,3,10005235,2023-11-30 12:23:52
17825,4,10005235,2023-11-30 13:59:41
17825,1,200178572,2023-03-23 07:53:57
17825,2,200178572,2023-03-23 10:29:43
17825,3,200178572,2023-03-23 12:13:20
17825,4,200178572,2023-03-23 13:03:38
17825,1,200179220,2023-03-16 13:40:13
17825,2,200179220,2023-03-16 17:03:51
17825,1,200179222,2023-03-17 13:31:15
17825,2,200179222,2023-03-17 17:12:10
17825,3,200179222,2023-03-17 19:55:56
17825,4,200179222,2023-03-17 19:58:43
17825,1,200181620,2023-03-24 08:31:15
17825,2,200181620,2023-03-24 11:53:41
17825,3,200181620,2023-03-24 13:13:11
17825,4,200181620,2023-03-24 14:30:45
17825,1,200182429,2023-03-30 09:29:25
17825,2,200182429,2023-03-30 12:26:49
17825,3,200182429,2023-03-30 13:32:39
17825,4,200182429,2023-03-30 14:52:53
17825,1,200182431,2023-03-31 06:38:15
17825,2,200182431,2023-03-31 10:09:57
17825,3,200182431,2023-03-31 11:20:57
17825,4,200182431,2023-03-31 12:58:34
17825,1,200182434,2023-04-06 11:41:18
17825,2,200182434,2023-04-06 14:58:19
17825,3,200182434,2023-04-06 16:00:34
17825,4,200182434,2023-04-06 18:40:19
17825,1,200182440,2023-04-20 08:19:45
17825,2,200182440,2023-04-20 11:12:48
17825,3,200182440,2023-04-20 12:24:36
17825,4,200182440,2023-04-20 13:43:28
17825,1,200182443,2023-04-27 09:37:04
17825,2,200182443,2023-04-27 13:07:28
17825,3,200182443,2023-04-27 14:18:09
17825,4,200182443,2023-04-27 15:31:03
17825,1,200182444,2023-05-24 09:18:13
17825,2,200182444,2023-05-24 12:16:53
17825,3,200182444,2023-05-24 13:24:40
17825,4,200182444,2023-05-24 15:01:32
17825,1,200182446,2023-07-06 08:17:00
17825,2,200182446,2023-07-06 11:12:50
17825,3,200182446,2023-07-06 12:16:24
17825,4,200182446,2023-07-06 13:47:19
17825,1,200182448,2023-07-05 08:53:46
17825,2,200182448,2023-07-05 12:02:25
17825,3,200182448,2023-07-05 13:25:54
17825,4,200182448,2023-07-05 14:46:07
17825,1,200184532,2023-07-12 08:37:40
17825,2,200184532,2023-07-12 12:09:47
17825,3,200184532,2023-07-12 13:15:11
17825,4,200184532,2023-07-12 14:55:15
17825,1,200184533,2023-06-01 06:31:34
17825,2,200184533,2023-06-01 09:35:52
17825,3,200184533,2023-06-01 10:43:59
17825,4,200184533,2023-06-01 12:20:29
17825,1,200184534,2023-06-02 08:33:16
17825,2,200184534,2023-06-02 11:34:37
17825,3,200184534,2023-06-02 12:50:50
17825,4,200184534,2023-06-02 14:08:31
17825,1,200184604,2023-06-08 12:56:06
17825,2,200184604,2023-06-08 16:09:53
17825,3,200184604,2023-06-08 17:13:40
17825,4,200184604,2023-06-08 18:48:26
17825,1,200184605,2023-06-14 08:26:10
17825,2,200184605,2023-06-14 11:52:37
17825,3,200184605,2023-06-14 13:11:38
17825,4,200184605,2023-06-14 14:49:25
17825,1,200184607,2023-06-15 07:46:20
17825,2,200184607,2023-06-15 11:21:33
17825,3,200184607,2023-06-15 13:06:46
17825,4,200184607,2023-06-15 14:38:00
17825,1,200184608,2023-06-16 08:31:20
17825,2,200184608,2023-06-16 12:23:26
17825,3,200184608,2023-06-16 13:44:19
17825,4,200184608,2023-06-16 15:19:20
17825,1,200184610,2023-06-22 08:02:36
17825,2,200184610,2023-06-22 11:24:39
17825,3,200184610,2023-06-22 12:52:16
17825,4,200184610,2023-06-22 14:34:16
17825,1,200184611,2023-06-23 07:16:39
17825,2,200184611,2023-06-23 10:31:18
17825,3,200184611,2023-06-23 11:41:50
17825,4,200184611,2023-06-23 14:29:46
17825,1,200185570,2023-05-25 09:50:09
17825,2,200185570,2023-05-25 13:14:59
17825,3,200185570,2023-05-25 14:19:05
17825,4,200185570,2023-05-25 15:57:13
17825,1,200187023,2023-06-28 06:59:13
17825,2,200187023,2023-06-28 10:47:59
17825,3,200187023,2023-06-28 11:53:54
17825,4,200187023,2023-06-28 13:26:04
17825,1,200187025,2023-06-29 08:00:49
17825,2,200187025,2023-06-29 11:36:46
17825,3,200187025,2023-06-29 13:06:58
17825,4,200187025,2023-06-29 14:41:01
17825,1,200187030,2023-07-13 08:37:21
17825,2,200187030,2023-07-13 12:07:23
17825,3,200187030,2023-07-13 13:16:09
17825,4,200187030,2023-07-13 14:54:47
17825,1,200187031,2023-07-26 07:59:42
17825,2,200187031,2023-07-26 11:36:10
17825,3,200187031,2023-07-26 13:05:59
17825,4,200187031,2023-07-26 14:31:44
17825,1,200188840,2023-07-20 08:15:51
17825,2,200188840,2023-07-20 11:28:53
17825,3,200188840,2023-07-20 12:16:18
17825,4,200188840,2023-07-20 13:49:56
17825,1,200188843,2023-07-27 07:14:23
17825,2,200188843,2023-07-27 10:42:20
17825,3,200188843,2023-07-27 11:53:45
17825,4,200188843,2023-07-27 13:30:57
17825,1,200188846,2023-08-02 09:33:15
17825,2,200188846,2023-08-02 12:41:01
17825,3,200188846,2023-08-02 13:53:36
17825,4,200188846,2023-08-02 15:34:14
17825,1,200188847,2023-08-03 06:42:30
17825,2,200188847,2023-08-03 10:16:46
17825,3,200188847,2023-08-03 11:21:03
17825,4,200188847,2023-08-03 12:38:13
17825,1,200188849,2023-09-06 08:50:24
17825,2,200188849,2023-09-06 11:54:25
17825,3,200188849,2023-09-06 13:46:14
17825,4,200188849,2023-09-06 14:42:26
17825,1,200188851,2023-09-07 07:31:48
17825,2,200188851,2023-09-07 10:59:57
17825,3,200188851,2023-09-07 12:05:04
17825,4,200188851,2023-09-07 14:06:46
17825,1,200191078,2023-09-15 09:16:59
17825,2,200191078,2023-09-15 12:53:29
17825,3,200191078,2023-09-15 13:57:02
17825,4,200191078,2023-09-15 15:29:10
17825,1,200191080,2023-09-14 07:42:07
17825,2,200191080,2023-09-14 11:06:15
17825,3,200191080,2023-09-14 12:11:17
17825,4,200191080,2023-09-14 13:47:49
17825,1,200191083,2023-09-27 09:29:21
17825,2,200191083,2023-09-27 12:56:56
17825,3,200191083,2023-09-27 14:22:19
17825,4,200191083,2023-09-27 16:12:27
17825,1,200191085,2023-09-28 10:32:59
17825,2,200191085,2023-09-28 13:56:04
17825,3,200191085,2023-09-28 15:07:15
17825,4,200191085,2023-09-28 16:50:05
17825,1,200191086,2023-10-04 08:12:42
17825,2,200191086,2023-10-04 11:40:38
17825,3,200191086,2023-10-04 12:54:37
17825,4,200191086,2023-10-04 14:22:56
17825,1,200191385,2023-10-05 10:04:41
17825,2,200191385,2023-10-05 13:23:00
17825,3,200191385,2023-10-05 14:27:58
17825,4,200191385,2023-10-05 16:08:51
17825,1,200191386,2023-10-11 12:40:28
17825,2,200191386,2023-10-11 16:14:25
17825,3,200191386,2023-10-11 17:22:10
17825,4,200191386,2023-10-11 19:04:00
17825,1,200191390,2023-10-19 09:00:16
17825,2,200191390,2023-10-19 12:03:00
17825,3,200191390,2023-10-19 13:20:57
17825,4,200191390,2023-10-19 14:41:33
17825,1,200191392,2023-10-25 08:58:35
17825,2,200191392,2023-10-25 12:21:21
17825,3,200191392,2023-10-25 13:28:15
17825,4,200191392,2023-10-25 15:05:59
17825,1,200191396,2023-11-02 10:15:43
17825,2,200191396,2023-11-02 13:38:24
17825,3,200191396,2023-11-02 14:26:13
17825,4,200191396,2023-11-02 16:04:38
17825,1,200191399,2023-10-27 10:46:47
17825,2,200191399,2023-10-27 14:14:06
17825,3,200191399,2023-10-27 15:54:16
17825,4,200191399,2023-10-27 17:30:08
17825,1,200195713,2023-11-09 10:30:59
17825,2,200195713,2023-11-09 13:50:27
17825,3,200195713,2023-11-09 14:46:37
17825,4,200195713,2023-11-09 16:16:06
17825,1,200195718,2023-11-15 08:33:07
17825,2,200195718,2023-11-15 11:50:02
17825,3,200195718,2023-11-15 12:47:50
17825,4,200195718,2023-11-15 14:33:47
17825,1,200196318,2023-11-10 09:18:05
17825,2,200196318,2023-11-10 12:36:12
17825,3,200196318,2023-11-10 13:25:10
17825,4,200196318,2023-11-10 15:02:20
17825,1,200196441,2023-11-23 08:33:34
17825,2,200196441,2023-11-23 12:00:29
17825,3,200196441,2023-11-23 12:56:41
17825,4,200196441,2023-11-23 14:30:59
17825,1,200196587,2023-11-17 09:26:27
17825,2,200196587,2023-11-17 12:56:33
17825,3,200196587,2023-11-17 13:49:58
17825,4,200196587,2023-11-17 15:39:39
17825,1,200196794,2023-11-29 08:56:28
17825,2,200196794,2023-11-29 12:07:05
17825,3,200196794,2023-11-29 13:30:52
17825,4,200196794,2023-11-29 14:30:01
17825,1,200196877,2023-12-06 07:46:12
17825,2,200196877,2023-12-06 11:02:42
17825,3,200196877,2023-12-06 11:56:19
17825,4,200196877,2023-12-06 13:37:08
17825,1,200196882,2023-12-21 09:35:25
17825,2,200196882,2023-12-21 12:57:12
17825,3,200196882,2023-12-21 13:50:54
17825,4,200196882,2023-12-21 15:40:59
17825,1,200196887,2024-01-19 09:16:03
17825,2,200196887,2024-01-19 12:12:01
17825,3,200196887,2024-01-19 13:00:47
17825,4,200196887,2024-01-19 15:30:29
17825,1,200196891,2024-01-22 09:45:58
17825,2,200196891,2024-01-22 10:30:47
17825,3,200196891,2024-01-22 11:40:50
17825,4,200196891,2024-01-22 13:18:29
17825,1,200196895,2024-01-24 10:01:39
17825,2,200196895,2024-01-24 13:28:26
17825,3,200196895,2024-01-24 14:23:31
17825,4,200196895,2024-01-24 16:12:08
17825,1,200196898,2024-01-29 08:49:24
17825,2,200196898,2024-01-29 11:53:32
17825,3,200196898,2024-01-29 12:45:10
17825,4,200196898,2024-01-29 14:32:49
17825,1,200196902,2024-02-05 08:21:43
17825,2,200196902,2024-02-05 11:37:15
17825,3,200196902,2024-02-05 12:34:24
17825,4,200196902,2024-02-05 14:18:12
17825,1,200196903,2024-01-31 08:34:11
17825,2,200196903,2024-01-31 11:56:20
17825,3,200196903,2024-01-31 12:40:39
17825,4,200196903,2024-01-31 14:31:08
17825,1,200197370,2023-12-01 10:07:23
17825,2,200197370,2023-12-01 13:33:07
17825,3,200197370,2023-12-01 14:19:25
17825,4,200197370,2023-12-01 16:19:01
17825,1,200199616,2024-02-07 10:25:43
17825,2,200199616,2024-02-07 14:01:47
17825,3,200199616,2024-02-07 14:46:50
17825,4,200199616,2024-02-07 16:33:25
17825,1,200202553,2024-04-29 08:17:13
17825,2,200202553,2024-04-29 11:36:52
17825,3,200202553,2024-04-29 12:29:36
17825,4,200202553,2024-04-29 14:10:30
17825,1,200202558,2024-05-16 07:18:01
17825,2,200202558,2024-05-16 10:51:35
17825,3,200202558,2024-05-16 11:43:01
